,id,name,current_price,current_price,market_cap,total_volume
0,bitcoin,Bitcoin,10303.91,10303.91,184394240638,22771222829
1,ethereum,Ethereum,188.56,188.56,20273721302,8011241770
2,ripple,XRP,0.269982,0.269982,11589651051,1425389669
3,bitcoin-cash,Bitcoin Cash,308.51,308.51,5545746559,1604102139
4,litecoin,Litecoin,73.47,73.47,4637975948,2926735484
5,binancecoin,Binance Coin,26.01,26.01,4041857116,221675488
6,eos,EOS,3.59,3.59,3659158938,2244788932
7,tether,Tether,0.998733,0.998733,3556064395,37394128201
8,bitcoin-cash-sv,Bitcoin SV,133.69,133.69,2401755683,395526550
9,cardano,Cardano,0.04995401,0.04995401,1553976731,160916251
